# Catriona Murray - NIRCam JWST Data Challenge 2022
# Wavelength             Depth                    Uncertainty
2.370760440826416016e+00 1.006807546404000185e-02 3.634909594800000130e-04
2.412928462028503418e+00 2.268951740415999993e-02 1.611745280000000100e-05
2.455096244812011719e+00 2.362233745935999468e-02 5.686737199999999537e-06
2.497263908386230469e+00 1.165136742224999987e-02 1.899770399999999992e-06
2.539431571960449219e+00 1.159758840241000011e-02 2.132303580000000177e-06
2.581600785255432129e+00 2.401802550624999866e-02 4.556338499999999371e-06
2.623768687248229980e+00 2.372209879204000352e-02 4.281750440000000877e-06
2.665936708450317383e+00 2.445276532644000134e-02 3.408948840000000228e-06
2.708104372024536133e+00 2.450946802500000160e-02 4.007808000000000202e-06
2.750272154808044434e+00 2.418130741156000393e-02 3.825383640000000624e-06
2.792439937591552734e+00 2.452196270601000178e-02 2.850027179999999734e-06
2.834607720375061035e+00 2.434192836099999604e-02 3.588436999999999775e-06
2.876775741577148438e+00 2.426715915264000129e-02 3.551765759999999912e-06
2.918943881988525391e+00 2.387905731225000577e-02 3.523249800000000228e-06
2.961111545562744141e+00 2.395136950128999576e-02 2.661911559999999880e-06
3.003279328346252441e+00 2.369558399569000190e-02 2.616872900000000256e-06
3.045446991920471191e+00 2.370716122369000145e-02 2.617512100000000197e-06
3.087615966796875000e+00 2.358294634275999793e-02 3.378482799999999789e-06
3.129784822463989258e+00 2.373577772164000427e-02 3.235348200000000111e-06
3.171952486038208008e+00 2.393790707343999846e-02 2.444557039999999871e-06
3.214120268821716309e+00 2.405262893881000147e-02 2.357354319999999970e-06
3.256288051605224609e+00 2.401334541376000040e-02 2.231458559999999751e-06
3.298455953598022461e+00 2.413045346404000049e-02 2.174757200000000087e-06
3.340623974800109863e+00 2.420544756099999792e-02 2.115901599999999810e-06
3.382791638374328613e+00 2.405377661184000121e-02 2.109262079999999951e-06
3.424959301948547363e+00 2.407353949224999914e-02 2.079097100000000203e-06
3.467126965522766113e+00 2.406153187684000050e-02 2.047554960000000193e-06
3.509294629096984863e+00 2.404890694440999996e-02 2.016002299999999714e-06
3.551462292671203613e+00 2.387741933823999893e-02 1.977896959999999715e-06
3.593630194664001465e+00 2.384695708515999907e-02 1.945749959999999818e-06
3.635801315307617188e+00 2.360426631423999735e-02 1.905096319999999759e-06
3.677968978881835938e+00 2.341919090889000438e-02 1.897612920000000120e-06
3.720136761665344238e+00 2.332681945344000293e-02 1.893866880000000121e-06
3.762304425239562988e+00 2.342399640099999611e-02 1.897807599999999895e-06
3.804472327232360840e+00 2.233052035600000332e-02 2.420830800000000102e-06
3.846640229225158691e+00 2.324841216049000278e-02 1.860186460000000006e-06
3.888808131217956543e+00 2.334490633215999950e-02 1.864042879999999973e-06
3.930975914001464844e+00 2.340630727743999925e-02 1.866492640000000027e-06
3.973143577575683594e+00 2.315540456100000088e-02 1.856461800000000060e-06
4.015311241149902344e+00 2.239090256880999635e-02 2.394174399999999765e-06
4.057479619979858398e+00 1.941059181960999927e-02 4.931995259999999705e-06
4.099648237228393555e+00 1.286690936976000142e-02 1.481427144000000120e-05
4.141816139221191406e+00 6.549567784359999756e-03 5.904609023999999207e-05
4.183984279632568359e+00 2.435777832959999667e-03 3.377661676799999626e-04
