# wvl(micron) (Rp/Rs)^2 err_low err_up
2.413000000000000256e+00 2.276799376018476262e-02 1.450347007025989650e-03 5.978145374140891475e-04
2.455000000000000071e+00 2.255278268810511841e-02 1.536238644116147889e-03 1.034333408665043990e-03
2.496999999999999886e+00 2.365605252117762569e-02 2.567261945838500339e-03 4.731917593604995868e-04
2.539499999999999869e+00 2.367710723273560094e-02 1.114874828187086258e-03 8.380887478824979725e-04
2.581999999999999851e+00 2.339309876682256831e-02 1.121379915793899954e-03 9.744059419457715100e-04
2.624000000000000110e+00 2.326388891885512039e-02 6.891911452344241188e-04 9.806942518268766795e-04
2.665999999999999925e+00 2.249224674118030856e-02 1.569169700904618015e-03 1.444515363297922943e-03
2.708000000000000185e+00 2.342227556335247513e-02 1.765340408443781192e-03 1.418062391552542875e-03
2.750000000000000000e+00 2.420713457068789792e-02 7.904781126108609062e-04 1.140179847718901865e-03
2.792499999999999982e+00 2.467681417644732728e-02 1.142586780791347931e-03 1.066541667823502938e-03
2.834999999999999964e+00 2.424135835679705475e-02 1.209500008462399039e-03 8.245672509746466722e-04
2.876999999999999780e+00 2.393867122548724510e-02 1.445929852468965304e-03 7.827385666817653683e-04
2.919000000000000039e+00 2.305290759646493742e-02 7.562810799550002266e-04 1.267530231866063027e-03
2.961000000000000298e+00 2.365403557735218723e-02 1.336060333917742440e-03 9.283767287678395489e-04
3.003000000000000114e+00 2.310565196101117477e-02 1.254432721143725017e-03 1.420102563488275264e-03
3.045500000000000096e+00 2.300150162186496636e-02 1.425397191569930614e-03 1.207640709478177872e-03
3.088000000000000078e+00 2.305927381092512385e-02 7.964447688557678906e-04 1.299567265283070204e-03
3.129999999999999893e+00 2.307897322436036971e-02 8.405917648796199437e-04 1.038192472636714336e-03
3.171999999999999709e+00 2.345018957626053557e-02 6.497089223313227881e-04 1.292473356405079423e-03
3.213999999999999968e+00 2.684715158458585507e-02 1.011649738376624698e-03 2.100188187419793628e-02
3.256000000000000227e+00 2.367030842188396975e-02 1.157829693526191963e-03 1.027952974805463075e-03
3.298499999999999766e+00 1.624563018142625992e-02 1.889424691734029006e-03 2.146924530787093152e-02
3.341000000000000192e+00 2.379707264437199571e-02 8.483940013706064640e-04 8.287708612812840804e-04
3.383000000000000007e+00 2.393525243949561759e-02 6.746070311941086304e-04 6.924854069483933399e-04
3.424999999999999822e+00 2.345027453294472319e-02 1.050522332786150547e-03 7.692544810185621444e-04
3.467000000000000082e+00 2.357735779448806232e-02 5.970032763260597203e-04 9.027370255656743878e-04
3.508999999999999897e+00 1.890674475304553875e-02 0.000000000000000000e+00 1.498850927027707385e-02
3.551499999999999879e+00 2.327567072714595287e-02 4.574595666287560808e-04 8.644826176531481042e-04
3.594000000000000306e+00 2.319042143575884146e-02 6.722722975919059960e-04 7.180509487552787923e-04
3.636000000000000121e+00 2.326429172156324610e-02 8.374191033936012434e-04 4.032091784291692480e-04
3.677999999999999936e+00 2.302105361015756302e-02 5.926887044871260394e-04 7.885562844969572866e-04
3.719999999999999751e+00 2.278367619547224526e-02 9.435241574585440886e-04 9.964692336728313456e-04
3.762000000000000011e+00 2.298441187845706724e-02 5.160815630510361823e-04 4.374540144281833555e-04
3.804499999999999993e+00 2.303084606711665316e-02 8.085858306167202723e-04 3.959081822496040713e-04
3.846999999999999975e+00 2.249616252824851795e-02 7.936234192157295411e-04 1.037733274292578552e-03
3.889000000000000234e+00 2.238532068956819790e-02 7.092879668703504529e-04 9.568224753409990601e-04
3.931000000000000050e+00 1.793120682145176586e-02 5.196270809641918842e-04 1.128906934930740819e-02
3.972999999999999865e+00 2.253151842324447457e-02 4.702021292827583492e-04 5.135497991550553622e-04
4.014999999999999680e+00 2.250561142827185723e-02 7.459579491540388940e-04 1.386056820950245811e-03
