# wvl(micron) (Rp/Rs)^2 err_low err_up
2.413000000000000256e+00 1.871886291050689488e-02 1.162936728914714009e-03 3.725029149904242592e-03
2.455000000000000071e+00 2.057408491455917435e-02 2.191631754090237177e-03 3.858541236113590973e-03
2.496999999999999886e+00 2.370129489454340238e-02 3.525436794084705391e-03 1.377414071532167758e-03
2.539499999999999869e+00 2.410495574160408105e-02 2.474324322365586883e-03 1.454137767075603651e-03
2.581999999999999851e+00 2.342555541524591126e-02 3.042655821702371956e-03 1.662540346500074404e-03
2.624000000000000110e+00 2.340537253689744732e-02 3.145231392603176166e-03 1.408106671433893842e-03
2.665999999999999925e+00 2.504200919952040763e-02 3.195283391443845371e-03 1.199672532202468661e-03
2.708000000000000185e+00 2.491148880180509353e-02 3.809194759438799729e-03 1.834679568715223436e-03
2.750000000000000000e+00 2.416374307520871914e-02 4.751974052851022992e-03 1.884063516286689456e-03
2.792499999999999982e+00 2.038749804951961453e-02 1.228216277621886924e-03 4.463482681972126727e-03
2.834999999999999964e+00 2.268946786868426824e-02 3.236598903794068918e-03 2.969337615959512407e-03
2.876999999999999780e+00 2.096725368636634043e-02 1.720218585372413223e-03 4.636899840412785252e-03
2.919000000000000039e+00 2.417730560277381660e-02 2.578668511078218914e-03 1.667150256179229578e-03
2.961000000000000298e+00 2.340245210227246894e-02 4.489567286061347216e-03 2.585501473467407673e-03
3.003000000000000114e+00 2.255687115370787893e-02 4.048757765144666426e-03 2.872507101644591453e-03
3.045500000000000096e+00 1.993511302770610907e-02 2.151355151280513051e-03 4.169996740417811730e-03
3.088000000000000078e+00 1.959212458823282599e-02 2.478573281521290628e-03 3.990087710827359448e-03
3.129999999999999893e+00 2.402406022757205134e-02 4.144182431928032130e-03 1.847580322856757530e-03
3.171999999999999709e+00 2.229959538894666499e-02 3.264973658667917958e-03 3.077894203380304207e-03
3.213999999999999968e+00 2.454437348959031054e-02 4.691017953519196343e-03 1.997380746890028980e-03
3.256000000000000227e+00 2.348731005961241999e-02 4.068373129854548249e-03 2.239806550019464004e-03
3.298499999999999766e+00 2.366016713636672972e-02 3.445819744414415232e-03 2.172987332946872251e-03
3.341000000000000192e+00 2.458798065316592646e-02 1.889177278612560020e-03 1.376991128329016403e-03
3.383000000000000007e+00 2.308317922760956542e-02 3.595142225970797151e-03 2.125155405259615028e-03
3.424999999999999822e+00 2.301752137302424603e-02 3.391805168809586008e-03 1.815904348091258204e-03
3.467000000000000082e+00 2.286415797519497292e-02 3.179606898700168289e-03 1.754215496868363235e-03
3.508999999999999897e+00 2.310439692707797962e-02 2.277311750260112896e-03 1.704716635239551499e-03
3.551499999999999879e+00 2.156784685799922885e-02 3.705455169650674011e-03 2.506012678865848255e-03
3.594000000000000306e+00 2.241592300005911670e-02 2.216795669816856197e-03 1.527509672093198398e-03
