# wvl(micron) (Rp/Rs)^2 err_low err_up
2.413000000000000256e+00 2.239574903032352099e-02 5.057973113566348062e-04 3.880780793386098804e-04
2.455000000000000071e+00 2.346506543038084577e-02 2.543756362792319830e-04 2.814178680607805978e-04
2.496999999999999886e+00 2.295456457144190790e-02 2.751902357044779890e-04 3.423963484915533428e-04
2.539499999999999869e+00 2.302053514245518823e-02 2.633589044408504417e-04 2.785624408524055187e-04
2.581999999999999851e+00 2.313537212512693092e-02 3.123407410016875081e-04 3.523613959898394261e-04
2.624000000000000110e+00 2.315319287107036120e-02 2.953434491053659548e-04 3.022865790411984250e-04
2.665999999999999925e+00 2.366430872999214161e-02 2.651019707630565916e-04 3.072123154325472278e-04
2.708000000000000185e+00 2.360818309405215282e-02 2.900781391404774973e-04 2.967985022264739772e-04
2.750000000000000000e+00 2.358397868819983589e-02 2.770588269635084703e-04 3.253205588643312595e-04
2.792499999999999982e+00 2.399031674503869158e-02 2.252321895154684101e-04 2.451386403157717556e-04
2.834999999999999964e+00 2.335075859800543954e-02 3.516813527634077958e-04 2.994522367942352263e-04
2.876999999999999780e+00 2.383475435815252466e-02 3.122121276312114519e-04 2.800896070775073178e-04
2.919000000000000039e+00 2.301070840218387772e-02 2.872740905326710012e-04 2.903236698886988657e-04
2.961000000000000298e+00 2.332037518693573855e-02 3.174863296958013292e-04 2.537777392766008260e-04
3.003000000000000114e+00 2.325125618605921457e-02 2.722500058771835365e-04 2.758375874441278152e-04
3.045500000000000096e+00 2.288832488237709309e-02 3.255416796944788607e-04 3.004870024556218584e-04
3.088000000000000078e+00 2.302363535011020534e-02 3.449673851719573230e-04 3.243638621833387051e-04
3.129999999999999893e+00 2.322117922918271599e-02 2.884160666425242877e-04 3.186215672695546239e-04
3.171999999999999709e+00 2.313233866765562058e-02 3.364746860704335551e-04 2.617851558072208052e-04
3.213999999999999968e+00 2.311690843592795891e-02 2.834658968067550484e-04 3.309067550141553686e-04
3.256000000000000227e+00 2.300875079799456074e-02 2.759734038538064031e-04 3.230422740011660502e-04
3.298499999999999766e+00 2.296244533027760534e-02 2.952303962152675221e-04 3.330044374488912639e-04
3.341000000000000192e+00 2.317591362894184590e-02 2.943920635712067124e-04 2.961793596394074316e-04
3.383000000000000007e+00 2.319900572245269660e-02 3.033270182074120774e-04 2.979874265812846104e-04
3.424999999999999822e+00 2.269787120421329699e-02 2.697161070847371592e-04 2.895638270527920886e-04
3.467000000000000082e+00 2.267568838912973478e-02 2.836879006130926979e-04 3.208268812872140164e-04
3.508999999999999897e+00 2.265348683309431621e-02 3.288880405420807054e-04 3.021777830353455387e-04
3.551499999999999879e+00 2.229930698805088554e-02 2.703149186185994425e-04 2.869609530767066978e-04
3.594000000000000306e+00 2.228335775957312331e-02 2.630453842106403534e-04 2.463115883971698345e-04
3.636000000000000121e+00 2.211285606163333750e-02 2.378012002059344814e-04 3.397929760433375176e-04
3.677999999999999936e+00 2.193018654784553018e-02 2.761059430980626573e-04 2.934912994489262124e-04
3.719999999999999751e+00 2.181374220880376996e-02 2.689380944742270855e-04 2.590644852943685861e-04
3.762000000000000011e+00 2.173844596731211790e-02 2.115728730725457236e-04 2.387745396766355755e-04
3.804499999999999993e+00 2.169640573377708270e-02 2.256779811201473660e-04 2.960296631954809077e-04
3.846999999999999975e+00 2.175135150898233755e-02 2.177189772374314844e-04 3.080275969695318015e-04
3.889000000000000234e+00 2.198661598865052358e-02 3.237589738405314893e-04 3.031148328712283090e-04
3.931000000000000050e+00 2.177400608085710773e-02 2.865395351204959719e-04 2.814739594360911963e-04
3.972999999999999865e+00 2.167512227451832280e-02 2.925908863917617633e-04 3.221329343387430784e-04
4.014999999999999680e+00 2.158416523299855685e-02 3.324092230039926406e-04 3.191349992517740963e-04
